transaction_id,account_id,merchant_id,transaction_ts,amount,direction
t0000001,a001192,m063,2024-09-28 03:58:35,42.79,debit
t0000002,a000126,m097,2024-12-02 05:35:24,10.6,debit
t0000003,a001013,m036,2024-09-06 14:54:00,10.19,debit
t0000004,a000990,m007,2024-12-03 12:38:11,17.4,credit
t0000005,a000809,m091,2024-11-05 18:21:45,38.99,debit
t0000006,a000697,m072,2024-07-24 17:24:05,77.11,debit
t0000007,a000201,m085,2024-08-09 04:04:34,17.54,debit
t0000008,a001383,m011,2024-10-18 19:40:24,3.3,debit
t0000009,a000412,m052,2024-09-14 11:56:30,25.5,debit
t0000010,a000741,m039,2024-09-19 14:01:44,55.2,credit
t0000011,a001433,m030,2024-10-08 21:08:07,42.1,debit
t0000012,a000732,m081,2024-09-27 07:53:14,22.26,debit
t0000013,a000026,m022,2024-07-13 06:20:04,4.45,debit
t0000014,a001060,m042,2024-12-16 04:20:24,10.36,debit
t0000015,a001034,m027,2024-07-22 07:24:46,28.43,debit
t0000016,a000166,m015,2024-11-25 08:43:55,11.33,debit
t0000017,a001165,m059,2024-10-18 04:58:10,28.24,debit
t0000018,a000153,m036,2024-09-20 00:41:35,15.63,credit
t0000019,a000352,m054,2024-11-11 23:52:39,90.69,debit
t0000020,a000529,m039,2024-08-29 23:27:18,30.02,credit
t0000021,a000686,m011,2024-09-27 07:24:09,50.73,debit
t0000022,a001400,m065,2024-09-04 05:15:59,24.29,debit
t0000023,a001264,m042,2024-10-28 02:56:46,11.28,debit
t0000024,a001224,m059,2024-11-16 22:30:41,17.7,debit
t0000025,a000690,m023,2024-10-09 02:12:23,74.08,debit
t0000026,a001416,m097,2024-11-24 05:21:20,7.17,debit
t0000027,a001257,m072,2024-12-18 02:05:37,17.32,debit
t0000028,a000360,m047,2024-09-12 05:46:35,61.48,debit
t0000029,a000717,m009,2024-09-01 00:44:13,14.75,debit
t0000030,a000046,m006,2024-11-08 14:34:07,61.97,debit
t0000031,a001179,m035,2024-10-16 21:57:55,79.14,debit
t0000032,a000392,m075,2024-12-04 10:53:43,78.61,debit
t0000033,a001388,m035,2024-08-20 20:02:37,10.99,debit
t0000034,a001310,m075,2024-10-13 01:41:18,48.1,debit
t0000035,a000459,m026,2024-08-27 06:57:51,2.32,debit
t0000036,a001416,m096,2024-11-11 15:16:33,14.19,debit
t0000037,a000435,m009,2024-09-07 21:44:57,216.35,debit
t0000038,a001359,m073,2024-08-15 14:23:48,64.41,debit
t0000039,a000778,m032,2024-09-03 04:54:00,43.01,debit
t0000040,a001371,m094,2024-12-28 19:13:05,73.54,debit
t0000041,a000774,m081,2024-09-30 07:34:23,10.23,debit
t0000042,a000099,m052,2024-09-01 16:28:28,16.08,debit
t0000043,a001161,m031,2024-08-16 20:56:24,5.52,debit
t0000044,a000040,m019,2024-08-01 03:36:10,13.97,debit
t0000045,a000971,m070,2024-10-31 10:31:08,23.74,credit
t0000046,a000888,m011,2024-10-31 02:36:49,13.54,debit
t0000047,a000061,m042,2024-11-12 08:32:06,61.59,debit
t0000048,a000178,m077,2024-10-28 11:26:34,5.56,debit
t0000049,a001188,m094,2024-09-10 18:27:30,3.43,debit
t0000050,a000037,m072,2024-07-25 13:42:14,73.4,debit
t0000051,a001012,m056,2024-10-10 23:22:18,33.27,debit
t0000052,a000723,m093,2024-12-15 11:14:59,185.79,credit
t0000053,a000456,m090,2024-10-14 16:23:32,64.49,credit
t0000054,a001281,m006,2024-12-28 15:19:18,74.95,debit
t0000055,a000884,m083,2024-09-23 01:38:27,67.76,credit
t0000056,a000306,m051,2024-09-19 02:28:11,112.06,debit
t0000057,a001117,m090,2024-09-05 15:27:58,23.26,credit
t0000058,a000048,m035,2024-09-03 19:37:23,76.21,debit
t0000059,a001143,m044,2024-11-30 07:23:15,29.99,debit
t0000060,a000632,m092,2024-07-21 14:50:07,89.1,debit
t0000061,a000004,m002,2024-11-26 21:15:35,68.78,debit
t0000062,a000263,m024,2024-11-21 14:15:08,29.36,debit
t0000063,a000213,m076,2024-08-09 19:40:39,55.74,debit
t0000064,a000264,m061,2024-09-29 19:24:14,33.36,credit
t0000065,a000321,m034,2024-12-24 00:54:57,15.79,debit
t0000066,a000288,m012,2024-07-28 21:14:37,4.29,debit
t0000067,a001223,m096,2024-10-08 02:17:16,24.15,debit
t0000068,a000402,m088,2024-11-30 01:48:48,59.74,debit
t0000069,a001290,m098,2024-09-01 22:08:39,12.92,credit
t0000070,a000870,m039,2024-09-30 10:00:14,61.6,debit
t0000071,a000080,m024,2024-08-16 03:56:42,271.05,debit
t0000072,a000768,m060,2024-07-30 02:29:14,2.29,debit
t0000073,a000675,m078,2024-12-12 01:07:42,196.41,credit
t0000074,a000224,m050,2024-08-10 07:28:56,82.98,debit
t0000075,a001283,m096,2024-08-23 14:24:17,18.88,debit
t0000076,a000989,m067,2024-12-06 11:22:04,78.39,debit
t0000077,a000149,m089,2024-10-25 12:16:51,115.04,debit
t0000078,a000735,m063,2024-09-04 03:11:28,10.33,debit
t0000079,a001305,m036,2024-11-13 17:05:33,16.11,credit
t0000080,a001303,m020,2024-11-20 19:33:19,29.0,debit
t0000081,a001198,m051,2024-09-29 11:26:24,4.26,debit
t0000082,a001183,m067,2024-12-12 14:09:20,7.57,debit
t0000083,a001401,m059,2024-08-12 18:20:23,53.22,debit
t0000084,a000952,m044,2024-08-27 21:33:48,19.79,debit
t0000085,a000845,m042,2024-11-13 07:26:57,36.72,debit
t0000086,a001079,m003,2024-10-18 02:30:11,42.8,debit
t0000087,a000334,m022,2024-10-01 07:16:01,3.86,debit
t0000088,a001427,m038,2024-08-20 10:37:06,53.38,debit
t0000089,a000026,m039,2024-12-26 01:25:16,33.33,debit
t0000090,a000445,m059,2024-12-31 06:03:25,13.66,debit
t0000091,a000573,m099,2024-08-17 20:58:07,9.7,debit
t0000092,a001192,m071,2024-12-10 19:53:40,22.83,debit
t0000093,a001231,m064,2024-10-24 05:26:23,106.11,debit
t0000094,a001419,m019,2024-08-08 10:48:08,28.27,debit
t0000095,a000444,m051,2024-10-31 06:01:11,37.53,debit
t0000096,a001335,m037,2024-07-13 11:58:09,162.31,debit
t0000097,a001047,m075,2024-12-14 01:47:44,10.6,debit
t0000098,a000508,m060,2024-07-27 07:14:50,40.08,debit
t0000099,a000082,m039,2024-07-11 22:27:19,5.81,debit
t0000100,a001258,m065,2024-08-27 14:59:56,9.22,debit
t0000101,a001240,m025,2024-11-22 23:33:01,100.98,debit
t0000102,a001162,m029,2024-12-21 07:20:29,9.3,debit
t0000103,a001261,m056,2024-07-18 00:48:00,285.01,debit
t0000104,a000407,m007,2024-07-17 09:47:04,532.79,debit
t0000105,a000651,m001,2024-08-26 23:34:31,134.42,debit
t0000106,a000352,m098,2024-07-19 14:18:15,40.44,debit
t0000107,a000073,m047,2024-07-07 15:37:27,75.26,debit
t0000108,a000032,m012,2024-08-13 16:08:27,89.88,debit
t0000109,a001297,m002,2024-10-15 20:20:46,98.32,debit
t0000110,a001342,m091,2024-11-25 09:29:48,13.83,debit
t0000111,a000179,m074,2024-08-30 06:06:56,4.21,debit
t0000112,a000080,m007,2024-07-07 03:54:24,26.34,debit
